type, t,x,y,z
kinect, 0,0,0,0
predicted,0,50,-5.18541,202.171
predicted,1,47.5528,-8.24744,219.537
predicted,2,40.4509,-10.1399,230.269
predicted,3,29.3893,-10.1399,230.269
predicted,4,15.4508,-8.24744,219.537
predicted,5,3.06162e-15,-5.18541,202.171
predicted,6,-15.4508,-2.12337,184.805
predicted,7,-29.3893,-0.230928,174.073
predicted,8,-40.4509,-0.230928,174.073
predicted,9,-47.5528,-2.12337,184.805
predicted,10,-50,-5.18541,202.171
predicted,11,-47.5528,-8.24744,219.537
predicted,12,-40.4509,-10.1399,230.269
predicted,13,-29.3893,-10.1399,230.269
predicted,14,-15.4508,-8.24744,219.537
predicted,15,-9.18485e-15,-5.18541,202.171
predicted,16,15.4508,-2.12337,184.805
predicted,17,29.3893,-0.230928,174.073
predicted,18,40.4509,-0.230928,174.073
predicted,19,47.5528,-2.12337,184.805
predicted,20,50,-5.18541,202.171
